synapse_id	x_px	y_px	z_px	size_px	distance	detection_uncertainty	node_id	node_x_px	node_y_px	node_z_px	node_count	nearest_connector_id	nearest_connector_distance_nm	nearest_connector_x_nm	nearest_connector_y_nm	nearest_connector_z_nm
1837	9978	6547	209	447	0.0631207	0.414027	28756	10041	6643	209	4	26457	409.6486299256962	39546.0	26372.0	9405.0
1838	10053	6763	201	2902	0.0539621	0.327529	28738	10035	6624	201	10	28679	212.75572847751948	40088.0	27160.0	8910.0
1839	10059	6714	197	928	0.0486981	0.390032	28734	10006	6636	197	4	28634	69.49100661236676	40288.0	26846.0	8820.0
1840	9863	6698	198	20	0.130842	0.54400000572204588	28735	10012	6632	198	1	26457	655.9428328749389	39546.0	26372.0	9405.0
1841	9858	6700	197	26	0.106728	0.54076921022855318	28734	10006	6636	197	1	26457	698.4124855699531	39546.0	26372.0	9405.0
1842	9999	6777	192	55	0.051405	0.52127272865988994	28612	10030	6668	192	1	28679	289.9448223369405	40088.0	27160.0	8910.0
1843	9739	5953	4	3084	0.0236187	0.316122	37812	9825	5865	4	7	37786	127.54607010802019	39038.0	23850.0	270.0
1844	9831	5785	3	762	0.00659045	0.388307	37813	9829	5852	3	4	37814	89.8443097808648	39410.0	23114.0	135.0
1845	9676	5919	6	1514	0.0559032	0.31893	37778	9819	5889	6	5	37786	376.60589480251105	39038.0	23850.0	270.0
1846	9928	5737	15	857	0.0317042	0.37231	37765	9803	5873	15	4	37654	498.7544486017142	39228.0	23028.0	765.0
1847	9821	5798	17	298	0.0205913	0.422081	37653	9767	5868	17	3	37654	173.29743217947575	39228.0	23028.0	765.0
1848	9798	5977	17	27	0.0817602	0.61333331355342158	37653	9767	5868	17	1	37786	521.6368468580416	39038.0	23850.0	270.0
1849	9672	5805	19	205	0.0229633	0.406927	37649	9809	5861	19	2	37868	560.9928698299115	38860.0	23568.0	1260.0
1850	9730	5991	21	1724	0.0343823	0.417506	37643	9877	5920	21	6	37868	509.54980129522176	38860.0	23568.0	1260.0
1851	10020	5889	22	352	0.0624791	0.485994	37642	9873	5914	22	3	38165	700.674674867017	40492.0	23280.0	1485.0
1852	9892	6035	22	28	0.0432559	0.405	37642	9873	5914	22	2	37683	346.41737831696605	39810.0	24244.0	765.0
1853	9948	6060	21	91	0.0577213	0.32164831475897149	37643	9877	5920	21	1	37683	180.94197965093673	39810.0	24244.0	765.0
1854	9821	5776	31	1559	0.0584645	0.308653	37633	9885	5926	31	6	37654	637.0337510681832	39228.0	23028.0	765.0
1855	9774	5834	28	58	0.0463627	0.369483	37636	9884	5910	28	2	37868	330.9380606699689	38860.0	23568.0	1260.0
1856	9854	6069	31	278	0.0733349	0.425899	37633	9885	5926	31	3	37683	743.7472689025486	39810.0	24244.0	765.0
1857	9979	6046	31	162	0.0792741	0.397037	37633	9885	5926	31	2	37683	641.6665800865743	39810.0	24244.0	765.0
1858	9800	5811	42	301	0.117066	0.440067	37580	9945	5941	42	2	37603	471.53472830747046	39434.0	23586.0	2115.0
1859	9815	6071	43	46	0.174357	0.48304350479789404	37579	9944	5950	43	1	37587	436.30264725302777	39664.0	24422.0	2025.0
1860	9835	6093	46	3203	0.0473931	0.23541	37576	9939	5964	46	6	37587	330.90935314674925	39664.0	24422.0	2025.0
1861	9862	5872	46	993	0.0399658	0.348721	37576	9939	5964	46	4	37603	108.74281585465772	39434.0	23586.0	2115.0
1862	9900	6102	46	1568	0.0354406	0.329215	37576	9939	5964	46	5	37587	79.47955712005447	39664.0	24422.0	2025.0
1864	9831	5797	51	419	0.0448831	0.349141	37139	9937	5926	51	2	37891	202.11877696047935	39258.0	23124.0	2475.0
1863	9845	5784	50	16	0.0507208	0.3243749737739563	37141	9937	5933	50	1	37891	256.2284137249419	39258.0	23124.0	2475.0
1865	10015	5257	215	65	0.0280345	0.52184615501990683	32208	9881	5165	215	1	32169	169.31922513406445	40080.0	21190.0	9630.0
1866	10028	5261	215	19	0.0414669	0.48157897748445211	32208	9881	5165	215	1	32169	156.0929210438449	40080.0	21190.0	9630.0
1867	10033	5270	214	650	0.0183281	0.426661	32204	9930	5150	214	3	32169	121.67168939404104	40080.0	21190.0	9630.0
1868	10014	5256	216	185	0.0194376	0.453189	32202	9982	5198	216	4	32169	190.34705146127166	40080.0	21190.0	9630.0
